 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Unidade da Federação e Ano/mês processamento
Caráter atendimento: Urgência
Período:Jan/2008-Ago/2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"24 Rio Grande do Norte";8194;10169;11457;11641;12472;11585;11531;10838;10889;10354;10084;9228;9548;10081;10755;7084;12228;11948;11789;11838;11684;11518;11789;11238;11061;10376;12181;11788;12342;11395;11150;11138;10797;10532;10800;10406;11405;11326;11910;11998;10814;10558;11620;10512;10612;10210;10318;10683;10662;10112;11102;10551;10525;10265;10624;10525;10059;9780;9920;8882;8867;8586;10147;10469;10318;10491;10302;9829;10161;10143;9668;9128;9762;9591;10193;9921;10172;9967;10113;9193;9209;9825;9685;9173;9281;8870;9942;9702;10016;9483;10177;9554;9664;9847;9457;8442;8931;8996;10177;10209;10160;10182;9460;9221;8386;9916;8852;8876;8977;8736;9961;9990;10362;9399;10138;9619;9425;9030;9084;8604;9034;9111;9753;10606;11020;9982;10830;10128;9827;10219;9950;8599;10674;10043;10988;10674;11596;10615;10805;11360;10707;10756;10374;10251;10604;10145;10328;9667;9214;9989;10477;9149;1552395
"25 Paraíba";15032;15568;16917;17652;17225;16994;17309;16917;16468;16849;15626;15448;15751;15234;17466;17555;18638;17770;17173;17155;17007;16449;17331;16786;16863;16146;17224;16937;18152;17506;17889;17742;17016;16606;16568;15904;15577;15927;17394;16176;15874;15101;15971;14859;15146;14935;14851;14778;14259;14222;15634;15209;15511;14636;14927;14418;13897;14057;13951;12811;13325;12811;14076;14883;15268;15380;14997;14590;14122;13573;13377;13240;13454;12389;12939;13556;13693;13549;13471;14016;13943;14138;13153;12884;12629;11872;13034;12972;13122;13090;13323;13443;12828;12737;11811;11670;11591;12529;13208;12992;13357;13236;12755;12854;12093;12180;11586;11575;12486;11892;13261;13579;14180;13492;12942;13447;13213;13183;13201;12918;12528;11887;13231;12911;14181;13671;13785;14000;12652;12746;12157;12119;12922;12088;13238;13201;14215;13316;13482;13493;13487;12595;12567;12133;11423;11714;11939;10615;10347;10967;11005;11230;2159947
"26 Pernambuco";17168;24805;30540;34154;33312;31634;30810;32994;32834;30131;29688;31051;26687;28849;30846;32652;32755;32469;31875;31096;31335;31658;30366;28854;30042;27897;30115;32138;31468;32779;32773;33504;31229;33302;32869;32732;31235;32005;30343;32959;32061;32301;33078;31970;32638;34142;31505;32253;34708;33485;34392;37450;36348;36720;35459;36080;32944;31554;33746;33214;31545;31536;35022;33901;35896;36048;36987;36907;34864;35131;33699;34366;32764;32666;32841;34246;36608;36040;36507;36347;36283;36008;35619;34323;34495;31682;35212;35610;36024;35670;35342;35343;33927;33364;33734;32010;34039;33591;35712;35292;35448;34951;35237;35895;35699;34172;32210;32287;32804;32241;36536;36345;38922;37375;37740;36795;35803;35284;34076;34531;34402;32731;36130;36236;38175;36442;36718;36280;34921;35466;34703;33202;36365;33104;36149;37281;38819;36811;37426;37470;35840;37978;36005;35420;35961;33322;34553;27590;29072;30628;34095;32414;5125262
"27 Alagoas";8012;9518;10489;12479;12666;12865;12985;13169;12855;13297;12205;11484;11588;11458;13466;13477;13390;12729;12725;12065;12867;13058;12389;12465;13023;11709;12873;13226;13031;12537;12791;12426;13346;12821;12653;12265;12249;12076;11928;13184;13688;13008;13208;13388;13384;13146;12743;13073;12949;12419;12355;12612;13161;13157;12879;11854;11955;11930;10858;11148;11314;11604;11337;12706;12822;12312;13120;12041;11649;12543;11109;11263;11712;10229;10473;10432;11325;11096;11506;11312;10706;10870;10775;10538;10875;10906;11008;11071;12015;11581;13626;12005;11971;10902;11612;11177;11692;11600;11797;11324;12034;11951;12299;11813;11634;11135;10555;10307;11348;10302;11427;11594;12152;12138;12644;12337;11458;11590;10879;10808;11362;11192;11455;11406;11967;11200;11609;11195;11482;11056;10671;10243;10699;10642;11349;10759;11125;11494;11876;11609;11474;11573;10828;10718;11311;10544;10882;10065;8884;8246;9694;10557;1788282
"28 Sergipe";4916;5956;7223;7705;7361;7931;8199;7161;7777;6633;6251;5474;5513;5056;6306;7011;7710;6918;6773;6230;7008;6140;6894;5985;6167;5277;5953;7149;7590;5960;6992;6896;6763;6459;6759;5736;6551;5678;6322;5904;6453;5952;6493;6327;6342;6223;5937;5795;5982;5673;6174;6804;6345;7071;6258;6457;5724;5940;5450;5235;5645;5987;6874;6624;6447;6081;6468;5829;5465;5412;5528;5361;5888;5418;5943;5593;6005;5922;5745;5672;6183;5778;5644;5368;5721;5563;6409;6566;6813;6477;6630;6624;6523;6552;6558;5665;5924;5790;6627;6629;7170;6551;6983;10897;4874;4993;5526;5665;5804;5680;5692;6350;7026;6501;6525;7227;7009;6913;6365;5988;6507;6164;6332;6850;7142;6590;7110;6845;6455;7043;6341;6112;6562;6248;6232;7067;7403;6662;6693;6520;6443;6495;6589;6078;7056;6556;6687;6108;5972;5684;6339;6695;966192
"29 Bahia";33542;39976;47930;60957;65203;70367;63804;62940;61490;60821;50143;52598;50473;56930;63735;63590;61237;61917;61769;61709;63937;59770;60356;59238;59880;58079;63655;63300;63866;60503;62313;63173;60946;60815;60602;56740;60298;56072;62993;62048;54335;60890;61277;58817;60422;57893;59176;55771;56311;56126;61646;60320;60719;59142;60186;59505;56458;56796;54104;48496;52733;50378;54197;57357;55320;57229;59975;59015;55387;58929;53041;51245;55562;52966;53923;54665;55582;54336;59366;58424;59193;58980;53380;54943;57908;52854;58717;57282;58601;57206;59916;59923;59668;59829;57586;54075;53638;56283;58296;59386;57119;55272;55024;57506;56211;56180;49461;48490;53279;48822;55242;53242;55789;55873;51649;52456;55363;58259;54689;50462;53670;50070;52656;55939;56347;54234;57090;57300;53496;56383;53715;49701;54852;50968;55608;57003;58033;55560;58783;59947;56470;56020;53632;50929;53421;52654;53703;47228;45766;45180;47227;44078;8573450
"31 Minas Gerais";56796;76614;82076;80630;82213;90776;83298;82979;82677;83909;77695;75104;78418;76176;82187;80880;83879;80002;81298;81306;78994;79541;79978;76188;80694;76533;82123;81927;82272;79529;80652;80660;78949;78154;78881;78600;80178;75974;80947;81479;81146;79693;83918;82022;79834;78449;79265;78024;81380;76210;83903;79669;84203;83694;83273;82077;81479;82252;76615;76733;82783;76864;82596;83599;84576;83204;84072;84538;82420;83564;81340;79038;85257;80752;83416;80813;88948;84327;87712;85721;85549;84708;83245;78897;82834;79073;84723;84963;87539;85948;85989;83253;84114;82559;81844;81498;83925;81505;86788;85119;86421;86813;85556;85404;83482;81585;79873;83225;84182;78873;87190;82494;88036;85340;87031;86716;84084;83887;82917;82318;84804;81347;89119;89099;89401;88481;89769;89181;86171;85916;82672;82660;89392;85986;90556;92039;96768;90570;93539;90800;88287;91830;85632;85196;91011;84923;82964;75755;77741;75997;82332;80936;12600919
"32 Espírito Santo";8166;11027;12777;13266;11901;13807;13978;13226;13746;13709;12924;11762;12169;12883;14064;14567;15135;14211;13974;14592;13846;13921;13207;12234;14478;12980;13443;12848;13749;13718;13939;13769;14223;13907;13576;13406;14312;13188;14872;14797;14880;14766;14967;15847;14284;14273;14380;14374;14318;14051;15281;15106;14450;14137;14313;14928;14381;14294;14080;13844;14937;14059;14210;15263;15446;14733;14642;14581;14543;14817;14561;14039;15526;14707;14427;14067;15887;15530;15734;15973;15467;15545;15121;13849;14907;14536;16189;15736;15727;16293;16947;16248;15028;15206;15817;14235;15669;14973;15318;15681;15927;16315;15455;15827;15101;15036;14613;15713;15981;15125;17010;16150;16912;16623;16331;16052;15472;15659;17288;16059;17071;15844;15883;16996;17136;16358;16080;16145;15357;15914;14572;14734;15557;15173;15646;15283;16028;15912;16866;16919;16479;16908;14997;16361;17133;16198;16486;16581;17276;15281;16011;15134;2266393
"33 Rio de Janeiro";24432;29550;43093;41988;45288;47403;45349;46041;45598;43608;40243;39918;39512;38504;42782;41409;44742;43102;45716;43691;43635;41803;42960;42025;41140;43324;45860;44364;46283;44158;46185;46028;43302;42906;42241;42879;42347;42372;45576;45391;47309;44353;43242;41286;40872;41823;41024;40699;40104;38853;44791;43046;45243;45400;44330;43512;40285;40713;37378;35603;39128;37293;40332;41714;42625;40285;43383;42584;41639;40714;38829;37173;41164;40524;40865;41724;42829;41319;45610;44533;44961;45162;41884;39942;43731;42016;45903;47423;46082;45511;47118;45487;43353;43784;42336;41685;42582;41980;46084;44764;43586;43716;43284;44048;41674;39430;39692;39099;39156;39538;43540;40730;46030;45292;47117;47157;44324;44981;43438;42395;44356;42424;45623;46710;47660;46627;48261;47295;44776;45147;44499;40918;47768;43675;45595;44362;49275;46570;46525;48403;47849;47628;45949;43619;46198;42644;42159;38095;44079;43471;46447;44434;6559937
"35 São Paulo";90510;115804;129747;137172;151472;147536;153985;148208;149629;146795;131937;134691;130244;131887;151164;144325;152740;149461;152678;151507;152564;149025;148206;139894;147720;139572;154370;154975;152881;149584;150749;151250;150680;145341;149751;152374;146546;144652;154195;152261;155719;145162;155283;146335;148208;146644;145365;143837;137705;140387;152312;149677;154208;147747;151015;154249;147428;146308;143132;135418;146753;137420;142504;153921;151860;145375;149532;152193;147014;151052;140563;134531;148442;139434;144306;144211;155574;146283;152278;151957;146060;146808;140893;135848;145238;139162;152425;153222;154907;151714;151586;147648;144886;143635;138689;141581;140521;140874;151631;151137;151781;153767;149980;148423;144197;141462;141517;143207;141101;133828;156453;145221;160276;150701;148997;150741;145208;146268;143082;143768;147734;140307;152346;152453;154173;148948;149576;149430;144547;147953;141971;140303;150433;140256;151931;155313;158745;149414;154317;155512;149246;153135;144301;144928;152579;144444;150731;129116;135665;140788;151619;142089;22252170
"41 Paraná";38915;48459;50264;49412;49472;50090;49762;49643;49419;49534;45252;48145;51461;49412;51927;51416;51747;50506;51879;51513;51849;51812;51089;51520;51580;50162;53627;53820;53837;53261;52755;52577;52435;52410;52600;52152;54397;51193;52283;53155;51194;51401;52252;49535;49619;50014;49365;48960;51716;49833;52152;51910;53300;53109;53245;53488;52245;51525;50824;49428;51565;50052;51569;52499;53149;51279;52015;52276;51770;50709;50933;48408;50495;50596;49558;49419;51610;50738;52168;52835;52982;51876;51209;48970;51146;49921;51811;52580;53017;52667;53337;52337;52083;51266;51066;51009;52204;50996;54045;54577;55926;54926;55778;54274;54165;54197;52990;52242;53076;52638;56053;54993;57526;55778;57558;57334;57000;56686;56586;56328;58306;54929;57470;58463;58873;58269;59688;58139;57539;57451;58297;55242;59347;56788;58290;57957;59739;57492;58606;58235;58696;58926;58273;56104;58825;59504;55955;48552;53183;47321;50004;52671;8047787
"42 Santa Catarina";20175;26150;26563;26094;26277;27622;28051;27846;27432;28674;24531;26410;28650;25950;29385;27912;28265;27693;28849;28689;29734;28650;27990;25367;28228;25241;28759;28042;27118;26863;27395;28166;27544;27637;27799;29070;27069;27248;28059;27698;29868;27753;29017;27342;28320;29035;28310;27691;27115;27053;29043;26772;29585;28622;28902;29231;26305;27633;26671;25000;27720;26085;26769;28027;28567;27344;28893;27768;27424;27606;27804;26707;28412;28227;27811;27926;29791;28685;29258;31185;30616;29712;27954;26754;28530;28255;29505;29641;28984;30174;29933;30795;30226;30434;28195;28031;29964;29407;29958;30883;31663;32130;31462;31700;31302;30619;30243;28690;30879;28886;32431;29357;33274;32042;32580;33030;31269;31646;31010;29741;29204;30826;33302;32363;32703;33516;33329;33729;32254;32214;30710;29878;33719;30788;31583;32328;34463;32976;35037;34215;33780;34381;32401;31432;31719;32469;31350;27295;27590;26298;28541;26957;4441427
"43 Rio Grande do Sul";31564;50686;48092;51743;45037;46363;51970;50623;49070;49870;44813;47585;43808;43809;49826;49273;48794;48239;50097;52735;50266;49970;48200;46971;46412;45633;47859;47753;50305;47824;49613;48773;47358;47216;47778;48924;44748;43433;48720;46468;49623;52862;51865;47967;48350;47859;49223;45724;45665;47474;51474;47352;51045;52225;53133;53651;47724;47382;47491;42535;47823;45329;49398;50274;51346;48132;52347;51824;48583;50520;48182;47606;49646;47390;48585;48825;50868;50120;52629;50650;50816;52594;49182;46868;49219;46476;52006;51365;51404;52720;53994;52798;49425;49492;50965;47706;46808;48879;49876;50221;50915;50945;53282;52905;49930;52253;49081;49485;47941;44507;50078;48109;52454;51876;53243;51601;51046;49412;48963;47287;47929;44949;48108;48761;48365;48334;50090;50554;49519;48276;46705;45285;47457;46215;47476;48283;50700;50074;51438;51586;49675;50943;46433;46054;48644;46709;48210;41681;40764;40844;43062;42565;7402737
"50 Mato Grosso do Sul";8313;9800;10643;11675;11935;13366;12291;11907;12259;11578;10665;10413;11299;11118;11885;12405;12339;12298;12399;11884;12240;12032;11337;11027;12525;12738;12971;12958;12855;12518;12107;12170;12723;12422;11995;11799;11814;11407;12247;12195;11610;11721;12076;11748;12311;11354;11465;11816;10857;11220;11549;11559;11637;11798;12081;12278;11675;11649;10591;11055;12226;11769;12281;12037;11995;12747;13001;13082;11968;12485;12476;11314;11918;11652;11576;12027;12323;11673;11981;13168;11083;11279;11484;11299;11355;11822;12131;12481;12517;11945;12349;12251;12299;11922;11664;10826;12449;11772;12226;12080;12260;12166;12480;12538;12179;11528;11728;11708;11658;11221;11813;11792;12509;12402;12510;12409;11795;11907;11694;11369;12085;12664;11537;11975;12592;12990;12468;11602;11825;11655;11458;11360;12301;12407;11839;12931;12739;12795;13132;13038;12708;12520;11597;11886;12483;12562;12968;12097;11787;11235;11361;10737;1816535
